timestamp,glucose_mg_dL
2025-01-03T00:00:00,127.5
2025-01-03T00:05:00,99.8
2025-01-03T00:10:00,136.1
2025-01-03T00:15:00,111.6
2025-01-03T00:20:00,130.9
2025-01-03T00:25:00,123.6
2025-01-03T00:30:00,122.9
2025-01-03T00:35:00,116.9
2025-01-03T00:40:00,130.3
2025-01-03T00:45:00,134.2
2025-01-03T00:50:00,126.7
2025-01-03T00:55:00,116.4
2025-01-03T01:00:00,133.0
2025-01-03T01:05:00,121.8
2025-01-03T01:10:00,126.8
2025-01-03T01:15:00,129.0
2025-01-03T01:20:00,128.0
2025-01-03T01:25:00,142.8
2025-01-03T01:30:00,126.0
2025-01-03T01:35:00,127.2
2025-01-03T01:40:00,130.8
2025-01-03T01:45:00,117.6
2025-01-03T01:50:00,133.6
2025-01-03T01:55:00,119.2
2025-01-03T02:00:00,130.5
2025-01-03T02:05:00,115.1
2025-01-03T02:10:00,137.0
2025-01-03T02:15:00,136.0
2025-01-03T02:20:00,131.1
2025-01-03T02:25:00,137.5
2025-01-03T02:30:00,132.0
2025-01-03T02:35:00,138.4
2025-01-03T02:40:00,132.1
2025-01-03T02:45:00,134.0
2025-01-03T02:50:00,135.6
2025-01-03T02:55:00,139.6
2025-01-03T03:00:00,147.4
2025-01-03T03:05:00,131.3
2025-01-03T03:10:00,121.0
2025-01-03T03:15:00,155.2
2025-01-03T03:20:00,138.4
2025-01-03T03:25:00,140.1
2025-01-03T03:30:00,141.2
2025-01-03T03:35:00,129.0
2025-01-03T03:40:00,146.2
2025-01-03T03:45:00,138.7
2025-01-03T03:50:00,135.7
2025-01-03T03:55:00,146.4
2025-01-03T04:00:00,162.3
2025-01-03T04:05:00,140.6
2025-01-03T04:10:00,154.2
2025-01-03T04:15:00,143.9
2025-01-03T04:20:00,159.5
2025-01-03T04:25:00,163.4
2025-01-03T04:30:00,152.5
2025-01-03T04:35:00,146.2
2025-01-03T04:40:00,160.2
2025-01-03T04:45:00,160.1
2025-01-03T04:50:00,154.7
2025-01-03T04:55:00,167.5
2025-01-03T05:00:00,128.6
2025-01-03T05:05:00,124.0
2025-01-03T05:10:00,125.8
2025-01-03T05:15:00,112.8
2025-01-03T05:20:00,119.1
2025-01-03T05:25:00,128.7
2025-01-03T05:30:00,117.6
2025-01-03T05:35:00,134.9
2025-01-03T05:40:00,130.1
2025-01-03T05:45:00,133.2
2025-01-03T05:50:00,136.2
2025-01-03T05:55:00,135.1
2025-01-03T06:00:00,137.2
2025-01-03T06:05:00,143.8
2025-01-03T06:10:00,142.7
2025-01-03T06:15:00,171.3
2025-01-03T06:20:00,187.0
2025-01-03T06:25:00,172.0
2025-01-03T06:30:00,190.4
2025-01-03T06:35:00,188.7
2025-01-03T06:40:00,170.4
2025-01-03T06:45:00,177.5
2025-01-03T06:50:00,188.7
2025-01-03T06:55:00,197.5
2025-01-03T07:00:00,200.8
2025-01-03T07:05:00,177.1
2025-01-03T07:10:00,190.3
2025-01-03T07:15:00,197.6
2025-01-03T07:20:00,186.7
2025-01-03T07:25:00,186.9
2025-01-03T07:30:00,187.2
2025-01-03T07:35:00,187.1
2025-01-03T07:40:00,194.3
2025-01-03T07:45:00,195.8
2025-01-03T07:50:00,195.2
2025-01-03T07:55:00,188.4
2025-01-03T08:00:00,193.6
2025-01-03T08:05:00,183.5
2025-01-03T08:10:00,202.6
2025-01-03T08:15:00,192.9
2025-01-03T08:20:00,201.4
2025-01-03T08:25:00,188.3
2025-01-03T08:30:00,188.3
2025-01-03T08:35:00,179.6
2025-01-03T08:40:00,175.3
2025-01-03T08:45:00,173.5
2025-01-03T08:50:00,183.9
2025-01-03T08:55:00,179.9
2025-01-03T09:00:00,188.6
2025-01-03T09:05:00,182.8
2025-01-03T09:10:00,177.4
2025-01-03T09:15:00,187.0
2025-01-03T09:20:00,175.9
2025-01-03T09:25:00,176.1
2025-01-03T09:30:00,195.9
2025-01-03T09:35:00,185.1
2025-01-03T09:40:00,187.3
2025-01-03T09:45:00,193.8
2025-01-03T09:50:00,184.5
2025-01-03T09:55:00,187.6
