timestamp,glucose_mg_dL
2025-01-02T00:00:00,158.9
2025-01-02T00:05:00,156.1
2025-01-02T00:10:00,159.4
2025-01-02T00:15:00,155.7
2025-01-02T00:20:00,154.9
2025-01-02T00:25:00,153.8
2025-01-02T00:30:00,173.6
2025-01-02T00:35:00,166.6
2025-01-02T00:40:00,168.0
2025-01-02T00:45:00,159.3
2025-01-02T00:50:00,164.7
2025-01-02T00:55:00,159.5
2025-01-02T01:00:00,156.8
2025-01-02T01:05:00,179.3
2025-01-02T01:10:00,171.7
2025-01-02T01:15:00,160.0
2025-01-02T01:20:00,181.2
2025-01-02T01:25:00,151.8
2025-01-02T01:30:00,171.6
2025-01-02T01:35:00,175.3
2025-01-02T01:40:00,168.2
2025-01-02T01:45:00,168.0
2025-01-02T01:50:00,173.6
2025-01-02T01:55:00,176.1
2025-01-02T02:00:00,171.4
2025-01-02T02:05:00,176.2
2025-01-02T02:10:00,172.6
2025-01-02T02:15:00,171.2
2025-01-02T02:20:00,179.7
2025-01-02T02:25:00,197.8
2025-01-02T02:30:00,175.6
2025-01-02T02:35:00,184.3
2025-01-02T02:40:00,179.3
2025-01-02T02:45:00,183.7
2025-01-02T02:50:00,175.1
2025-01-02T02:55:00,176.0
2025-01-02T03:00:00,180.4
2025-01-02T03:05:00,184.8
2025-01-02T03:10:00,182.0
2025-01-02T03:15:00,183.3
2025-01-02T03:20:00,192.5
2025-01-02T03:25:00,175.9
2025-01-02T03:30:00,204.9
2025-01-02T03:35:00,191.2
2025-01-02T03:40:00,192.0
2025-01-02T03:45:00,189.8
2025-01-02T03:50:00,199.4
2025-01-02T03:55:00,205.2
2025-01-02T04:00:00,189.3
2025-01-02T04:05:00,208.9
2025-01-02T04:10:00,217.9
2025-01-02T04:15:00,198.9
2025-01-02T04:20:00,209.8
2025-01-02T04:25:00,206.7
2025-01-02T04:30:00,201.6
2025-01-02T04:35:00,219.8
2025-01-02T04:40:00,217.8
2025-01-02T04:45:00,224.1
2025-01-02T04:50:00,237.6
2025-01-02T04:55:00,225.1
2025-01-02T05:00:00,232.3
2025-01-02T05:05:00,239.3
2025-01-02T05:10:00,228.5
2025-01-02T05:15:00,235.9
2025-01-02T05:20:00,230.0
2025-01-02T05:25:00,238.2
2025-01-02T05:30:00,244.2
2025-01-02T05:35:00,251.7
2025-01-02T05:40:00,257.2
2025-01-02T05:45:00,250.2
2025-01-02T05:50:00,269.8
2025-01-02T05:55:00,259.6
2025-01-02T06:00:00,268.3
2025-01-02T06:05:00,277.1
2025-01-02T06:10:00,262.0
2025-01-02T06:15:00,266.3
2025-01-02T06:20:00,275.0
2025-01-02T06:25:00,281.5
2025-01-02T06:30:00,251.2
2025-01-02T06:35:00,268.1
2025-01-02T06:40:00,270.5
2025-01-02T06:45:00,269.7
2025-01-02T06:50:00,262.1
