timestamp,glucose_mg_dL
2025-01-05T00:00:00,65.2
2025-01-05T00:05:00,61.0
2025-01-05T00:10:00,68.6
2025-01-05T00:15:00,78.7
2025-01-05T00:20:00,59.1
2025-01-05T00:25:00,72.1
2025-01-05T00:30:00,69.7
2025-01-05T00:35:00,60.2
2025-01-05T00:40:00,69.1
2025-01-05T00:45:00,67.9
2025-01-05T00:50:00,70.8
2025-01-05T00:55:00,71.1
2025-01-05T01:00:00,96.3
2025-01-05T01:05:00,102.4
2025-01-05T01:10:00,99.9
2025-01-05T01:15:00,83.3
2025-01-05T01:20:00,94.8
2025-01-05T01:25:00,97.9
2025-01-05T01:30:00,103.4
2025-01-05T01:35:00,93.1
2025-01-05T01:40:00,93.9
2025-01-05T01:45:00,88.1
2025-01-05T01:50:00,99.6
2025-01-05T01:55:00,98.0
2025-01-05T02:00:00,62.7
2025-01-05T02:05:00,69.4
2025-01-05T02:10:00,70.5
2025-01-05T02:15:00,64.4
2025-01-05T02:20:00,58.4
2025-01-05T02:25:00,76.6
2025-01-05T02:30:00,72.6
2025-01-05T02:35:00,60.4
2025-01-05T02:40:00,53.5
2025-01-05T02:45:00,69.7
2025-01-05T02:50:00,70.8
2025-01-05T02:55:00,66.3
2025-01-05T03:00:00,60.6
2025-01-05T03:05:00,52.4
2025-01-05T03:10:00,76.8
2025-01-05T03:15:00,75.4
2025-01-05T03:20:00,60.7
2025-01-05T03:25:00,69.9
2025-01-05T03:30:00,68.0
2025-01-05T03:35:00,72.4
2025-01-05T03:40:00,72.9
2025-01-05T03:45:00,68.1
2025-01-05T03:50:00,77.3
2025-01-05T03:55:00,77.2
2025-01-05T04:00:00,99.2
2025-01-05T04:05:00,116.5
2025-01-05T04:10:00,103.6
2025-01-05T04:15:00,109.5
2025-01-05T04:20:00,122.7
2025-01-05T04:25:00,110.3
2025-01-05T04:30:00,116.9
2025-01-05T04:35:00,109.0
2025-01-05T04:40:00,108.0
2025-01-05T04:45:00,115.9
2025-01-05T04:50:00,110.8
2025-01-05T04:55:00,124.9
2025-01-05T05:00:00,116.3
2025-01-05T05:05:00,114.4
2025-01-05T05:10:00,116.6
2025-01-05T05:15:00,117.1
2025-01-05T05:20:00,114.8
2025-01-05T05:25:00,117.4
2025-01-05T05:30:00,123.1
2025-01-05T05:35:00,110.3
2025-01-05T05:40:00,115.5
2025-01-05T05:45:00,127.3
2025-01-05T05:50:00,126.3
2025-01-05T05:55:00,120.6
2025-01-05T06:00:00,119.1
2025-01-05T06:05:00,121.7
2025-01-05T06:10:00,128.2
2025-01-05T06:15:00,123.7
2025-01-05T06:20:00,132.1
2025-01-05T06:25:00,129.3
2025-01-05T06:30:00,137.2
2025-01-05T06:35:00,134.1
2025-01-05T06:40:00,124.5
2025-01-05T06:45:00,129.3
2025-01-05T06:50:00,128.4
2025-01-05T06:55:00,129.1
2025-01-05T07:00:00,135.6
2025-01-05T07:05:00,131.3
2025-01-05T07:10:00,133.2
2025-01-05T07:15:00,138.0
2025-01-05T07:20:00,135.2
2025-01-05T07:25:00,133.9
2025-01-05T07:30:00,146.4
2025-01-05T07:35:00,131.1
2025-01-05T07:40:00,153.2
2025-01-05T07:45:00,132.7
2025-01-05T07:50:00,136.1
2025-01-05T07:55:00,134.8
2025-01-05T08:00:00,140.4
2025-01-05T08:05:00,143.0
2025-01-05T08:10:00,130.7
2025-01-05T08:15:00,146.1
2025-01-05T08:20:00,140.9
2025-01-05T08:25:00,135.8
2025-01-05T08:30:00,133.2
2025-01-05T08:35:00,133.6
2025-01-05T08:40:00,136.0
2025-01-05T08:45:00,136.7
