timestamp,glucose_mg_dL
2025-01-04T00:00:00,172.4
2025-01-04T00:05:00,180.2
2025-01-04T00:10:00,174.2
2025-01-04T00:15:00,191.4
2025-01-04T00:20:00,185.1
2025-01-04T00:25:00,158.1
2025-01-04T00:30:00,183.6
2025-01-04T00:35:00,187.4
2025-01-04T00:40:00,179.1
2025-01-04T00:45:00,194.2
2025-01-04T00:50:00,187.7
2025-01-04T00:55:00,174.4
2025-01-04T01:00:00,193.8
2025-01-04T01:05:00,186.9
2025-01-04T01:10:00,193.7
2025-01-04T01:15:00,179.6
2025-01-04T01:20:00,198.7
2025-01-04T01:25:00,189.0
2025-01-04T01:30:00,195.4
2025-01-04T01:35:00,191.2
2025-01-04T01:40:00,208.7
2025-01-04T01:45:00,174.0
2025-01-04T01:50:00,195.6
2025-01-04T01:55:00,197.2
2025-01-04T02:00:00,204.4
2025-01-04T02:05:00,198.8
2025-01-04T02:10:00,194.2
2025-01-04T02:15:00,189.2
2025-01-04T02:20:00,200.5
2025-01-04T02:25:00,197.2
2025-01-04T02:30:00,196.8
2025-01-04T02:35:00,203.8
2025-01-04T02:40:00,222.0
2025-01-04T02:45:00,205.1
2025-01-04T02:50:00,217.3
2025-01-04T02:55:00,199.1
2025-01-04T03:00:00,195.5
2025-01-04T03:05:00,208.0
2025-01-04T03:10:00,213.2
2025-01-04T03:15:00,209.3
2025-01-04T03:20:00,229.6
2025-01-04T03:25:00,207.6
2025-01-04T03:30:00,203.1
2025-01-04T03:35:00,233.4
2025-01-04T03:40:00,216.3
2025-01-04T03:45:00,232.0
2025-01-04T03:50:00,229.7
2025-01-04T03:55:00,219.7
2025-01-04T04:00:00,224.2
2025-01-04T04:05:00,224.3
2025-01-04T04:10:00,218.3
2025-01-04T04:15:00,240.5
2025-01-04T04:20:00,231.8
2025-01-04T04:25:00,247.3
2025-01-04T04:30:00,229.1
2025-01-04T04:35:00,226.6
2025-01-04T04:40:00,253.8
2025-01-04T04:45:00,240.5
2025-01-04T04:50:00,227.6
2025-01-04T04:55:00,231.6
2025-01-04T05:00:00,227.1
2025-01-04T05:05:00,243.0
2025-01-04T05:10:00,244.7
2025-01-04T05:15:00,242.2
2025-01-04T05:20:00,264.8
2025-01-04T05:25:00,263.1
2025-01-04T05:30:00,253.0
2025-01-04T05:35:00,259.2
2025-01-04T05:40:00,252.7
2025-01-04T05:45:00,258.1
2025-01-04T05:50:00,256.7
2025-01-04T05:55:00,265.7
2025-01-04T06:00:00,253.9
2025-01-04T06:05:00,265.4
2025-01-04T06:10:00,265.7
2025-01-04T06:15:00,268.3
2025-01-04T06:20:00,276.0
2025-01-04T06:25:00,288.3
2025-01-04T06:30:00,263.0
2025-01-04T06:35:00,281.7
2025-01-04T06:40:00,277.4
2025-01-04T06:45:00,270.6
2025-01-04T06:50:00,291.4
2025-01-04T06:55:00,271.1
2025-01-04T07:00:00,283.5
2025-01-04T07:05:00,284.9
2025-01-04T07:10:00,285.0
2025-01-04T07:15:00,288.0
2025-01-04T07:20:00,277.7
2025-01-04T07:25:00,285.4
2025-01-04T07:30:00,288.4
2025-01-04T07:35:00,300.2
2025-01-04T07:40:00,283.9
2025-01-04T07:45:00,304.8
2025-01-04T07:50:00,300.4
2025-01-04T07:55:00,297.6
2025-01-04T08:00:00,303.8
2025-01-04T08:05:00,305.3
2025-01-04T08:10:00,305.7
2025-01-04T08:15:00,299.2
2025-01-04T08:20:00,302.9
2025-01-04T08:25:00,296.8
2025-01-04T08:30:00,305.9
2025-01-04T08:35:00,301.5
2025-01-04T08:40:00,308.4
2025-01-04T08:45:00,295.8
2025-01-04T08:50:00,304.6
2025-01-04T08:55:00,311.4
2025-01-04T09:00:00,305.4
2025-01-04T09:05:00,295.6
2025-01-04T09:10:00,305.3
2025-01-04T09:15:00,320
2025-01-04T09:20:00,304.5
2025-01-04T09:25:00,304.2
2025-01-04T09:30:00,285.5
2025-01-04T09:35:00,313.4
2025-01-04T09:40:00,313.8
2025-01-04T09:45:00,300.2
2025-01-04T09:50:00,293.6
2025-01-04T09:55:00,307.2
2025-01-04T10:00:00,313.1
2025-01-04T10:05:00,298.3
2025-01-04T10:10:00,288.4
2025-01-04T10:15:00,301.5
2025-01-04T10:20:00,298.9
2025-01-04T10:25:00,303.2
2025-01-04T10:30:00,300.2
2025-01-04T10:35:00,311.0
2025-01-04T10:40:00,300.2
2025-01-04T10:45:00,300.6
2025-01-04T10:50:00,305.0
2025-01-04T10:55:00,308.9
2025-01-04T11:00:00,302.6
2025-01-04T11:05:00,311.8
2025-01-04T11:10:00,284.9
2025-01-04T11:15:00,295.5
2025-01-04T11:20:00,298.1
2025-01-04T11:25:00,296.5
2025-01-04T11:30:00,311.3
2025-01-04T11:35:00,299.5
2025-01-04T11:40:00,293.3
2025-01-04T11:45:00,291.7
2025-01-04T11:50:00,294.8
2025-01-04T11:55:00,315.1
2025-01-04T12:00:00,300.2
2025-01-04T12:05:00,297.9
2025-01-04T12:10:00,311.6
2025-01-04T12:15:00,305.9
2025-01-04T12:20:00,281.9
2025-01-04T12:25:00,287.9
2025-01-04T12:30:00,290.7
2025-01-04T12:35:00,296.3
2025-01-04T12:40:00,291.1
2025-01-04T12:45:00,283.4
2025-01-04T12:50:00,294.1
2025-01-04T12:55:00,298.8
2025-01-04T13:00:00,284.7
2025-01-04T13:05:00,293.7
2025-01-04T13:10:00,294.9
2025-01-04T13:15:00,290.0
