timestamp,glucose_mg_dL
2025-01-06T00:00:00,137.4
2025-01-06T00:05:00,138.5
2025-01-06T00:10:00,153.3
2025-01-06T00:15:00,145.8
2025-01-06T00:20:00,148.1
2025-01-06T00:25:00,129.4
2025-01-06T00:30:00,132.0
2025-01-06T00:35:00,137.6
2025-01-06T00:40:00,144.6
2025-01-06T00:45:00,131.5
2025-01-06T00:50:00,138.7
2025-01-06T00:55:00,129.5
2025-01-06T01:00:00,143.4
2025-01-06T01:05:00,147.4
2025-01-06T01:10:00,145.8
2025-01-06T01:15:00,142.6
2025-01-06T01:20:00,155.4
2025-01-06T01:25:00,148.8
2025-01-06T01:30:00,153.0
2025-01-06T01:35:00,152.2
2025-01-06T01:40:00,158.6
2025-01-06T01:45:00,155.7
2025-01-06T01:50:00,149.4
2025-01-06T01:55:00,157.2
2025-01-06T02:00:00,156.4
2025-01-06T02:05:00,177.0
2025-01-06T02:10:00,154.4
2025-01-06T02:15:00,152.0
2025-01-06T02:20:00,142.9
2025-01-06T02:25:00,135.4
2025-01-06T02:30:00,154.5
2025-01-06T02:35:00,155.7
2025-01-06T02:40:00,143.0
2025-01-06T02:45:00,162.5
2025-01-06T02:50:00,165.1
2025-01-06T02:55:00,155.2
2025-01-06T03:00:00,171.9
2025-01-06T03:05:00,164.7
2025-01-06T03:10:00,161.4
2025-01-06T03:15:00,160.2
2025-01-06T03:20:00,139.0
2025-01-06T03:25:00,154.6
2025-01-06T03:30:00,156.5
2025-01-06T03:35:00,162.5
2025-01-06T03:40:00,156.1
2025-01-06T03:45:00,160.7
2025-01-06T03:50:00,155.9
2025-01-06T03:55:00,166.0
2025-01-06T04:00:00,166.0
2025-01-06T04:05:00,156.1
2025-01-06T04:10:00,165.0
2025-01-06T04:15:00,170.2
2025-01-06T04:20:00,158.1
2025-01-06T04:25:00,172.5
2025-01-06T04:30:00,162.9
2025-01-06T04:35:00,173.2
2025-01-06T04:40:00,168.5
2025-01-06T04:45:00,169.5
2025-01-06T04:50:00,160.6
2025-01-06T04:55:00,169.6
2025-01-06T05:00:00,184.3
2025-01-06T05:05:00,175.6
2025-01-06T05:10:00,168.1
2025-01-06T05:15:00,177.8
2025-01-06T05:20:00,172.1
2025-01-06T05:25:00,171.0
2025-01-06T05:30:00,174.1
2025-01-06T05:35:00,161.7
2025-01-06T05:40:00,176.3
2025-01-06T05:45:00,177.3
2025-01-06T05:50:00,183.1
2025-01-06T05:55:00,195.6
2025-01-06T06:00:00,177.2
2025-01-06T06:05:00,182.6
2025-01-06T06:10:00,194.4
2025-01-06T06:15:00,188.2
2025-01-06T06:20:00,181.2
2025-01-06T06:25:00,197.7
2025-01-06T06:30:00,182.4
2025-01-06T06:35:00,196.2
2025-01-06T06:40:00,198.7
2025-01-06T06:45:00,199.7
2025-01-06T06:50:00,205.3
2025-01-06T06:55:00,191.5
2025-01-06T07:00:00,197.2
2025-01-06T07:05:00,193.8
2025-01-06T07:10:00,198.3
2025-01-06T07:15:00,190.9
2025-01-06T07:20:00,195.2
2025-01-06T07:25:00,211.1
2025-01-06T07:30:00,200.0
2025-01-06T07:35:00,207.0
2025-01-06T07:40:00,196.1
2025-01-06T07:45:00,210.5
2025-01-06T07:50:00,197.8
2025-01-06T07:55:00,227.0
2025-01-06T08:00:00,208.6
2025-01-06T08:05:00,204.1
2025-01-06T08:10:00,206.6
2025-01-06T08:15:00,210.8
2025-01-06T08:20:00,222.7
2025-01-06T08:25:00,216.5
2025-01-06T08:30:00,211.5
2025-01-06T08:35:00,223.9
2025-01-06T08:40:00,225.7
2025-01-06T08:45:00,218.7
2025-01-06T08:50:00,230.1
2025-01-06T08:55:00,230.7
2025-01-06T09:00:00,204.7
2025-01-06T09:05:00,227.5
2025-01-06T09:10:00,220.9
2025-01-06T09:15:00,230.2
2025-01-06T09:20:00,239.6
2025-01-06T09:25:00,232.8
2025-01-06T09:30:00,235.4
2025-01-06T09:35:00,237.0
2025-01-06T09:40:00,235.4
2025-01-06T09:45:00,241.0
2025-01-06T09:50:00,235.7
2025-01-06T09:55:00,235.7
2025-01-06T10:00:00,246.3
2025-01-06T10:05:00,222.1
2025-01-06T10:10:00,247.8
2025-01-06T10:15:00,244.7
2025-01-06T10:20:00,240.3
2025-01-06T10:25:00,240.8
2025-01-06T10:30:00,233.8
2025-01-06T10:35:00,248.4
2025-01-06T10:40:00,233.2
2025-01-06T10:45:00,243.3
2025-01-06T10:50:00,240.6
2025-01-06T10:55:00,234.5
2025-01-06T11:00:00,236.1
2025-01-06T11:05:00,250.8
2025-01-06T11:10:00,253.6
2025-01-06T11:15:00,234.6
2025-01-06T11:20:00,232.5
2025-01-06T11:25:00,257.3
2025-01-06T11:30:00,247.4
2025-01-06T11:35:00,250.8
2025-01-06T11:40:00,240.1
2025-01-06T11:45:00,242.9
2025-01-06T11:50:00,244.5
2025-01-06T11:55:00,247.8
2025-01-06T12:00:00,252.3
2025-01-06T12:05:00,249.1
2025-01-06T12:10:00,233.0
2025-01-06T12:15:00,232.9
2025-01-06T12:20:00,252.4
2025-01-06T12:25:00,246.7
2025-01-06T12:30:00,248.3
2025-01-06T12:35:00,241.1
2025-01-06T12:40:00,234.0
2025-01-06T12:45:00,229.1
2025-01-06T12:50:00,244.6
2025-01-06T12:55:00,240.7
2025-01-06T13:00:00,257.3
2025-01-06T13:05:00,229.9
2025-01-06T13:10:00,232.3
2025-01-06T13:15:00,239.3
2025-01-06T13:20:00,230.1
2025-01-06T13:25:00,239.1
2025-01-06T13:30:00,259.2
2025-01-06T13:35:00,232.0
2025-01-06T13:40:00,228.5
2025-01-06T13:45:00,235.0
2025-01-06T13:50:00,250.2
2025-01-06T13:55:00,235.7
2025-01-06T14:00:00,243.6
2025-01-06T14:05:00,240.2
2025-01-06T14:10:00,224.8
2025-01-06T14:15:00,225.9
2025-01-06T14:20:00,227.5
2025-01-06T14:25:00,238.8
2025-01-06T14:30:00,233.8
2025-01-06T14:35:00,235.2
2025-01-06T14:40:00,237.5
2025-01-06T14:45:00,225.0
2025-01-06T14:50:00,216.3
2025-01-06T14:55:00,220.8
2025-01-06T15:00:00,184.8
2025-01-06T15:05:00,183.0
2025-01-06T15:10:00,191.9
2025-01-06T15:15:00,185.9
2025-01-06T15:20:00,165.8
2025-01-06T15:25:00,171.8
2025-01-06T15:30:00,183.8
2025-01-06T15:35:00,189.8
2025-01-06T15:40:00,186.6
2025-01-06T15:45:00,188.6
2025-01-06T15:50:00,180.3
2025-01-06T15:55:00,186.7
2025-01-06T16:00:00,222.3
2025-01-06T16:05:00,218.7
2025-01-06T16:10:00,211.8
2025-01-06T16:15:00,212.7
2025-01-06T16:20:00,213.7
2025-01-06T16:25:00,217.6
2025-01-06T16:30:00,216.6
2025-01-06T16:35:00,205.7
2025-01-06T16:40:00,214.2
2025-01-06T16:45:00,231.0
2025-01-06T16:50:00,225.4
2025-01-06T16:55:00,226.8
2025-01-06T17:00:00,213.5
2025-01-06T17:05:00,214.9
2025-01-06T17:10:00,223.5
2025-01-06T17:15:00,225.6
2025-01-06T17:20:00,202.8
2025-01-06T17:25:00,217.7
2025-01-06T17:30:00,214.0
2025-01-06T17:35:00,210.8
2025-01-06T17:40:00,217.5
2025-01-06T17:45:00,210.7
2025-01-06T17:50:00,205.8
2025-01-06T17:55:00,209.8
2025-01-06T18:00:00,208.5
2025-01-06T18:05:00,212.7
2025-01-06T18:10:00,205.2
2025-01-06T18:15:00,204.5
2025-01-06T18:20:00,227.9
2025-01-06T18:25:00,220.7
2025-01-06T18:30:00,205.1
2025-01-06T18:35:00,202.6
2025-01-06T18:40:00,206.0
2025-01-06T18:45:00,196.6
2025-01-06T18:50:00,207.5
2025-01-06T18:55:00,218.0
2025-01-06T19:00:00,195.9
2025-01-06T19:05:00,190.8
2025-01-06T19:10:00,211.8
2025-01-06T19:15:00,204.1
2025-01-06T19:20:00,195.2
2025-01-06T19:25:00,206.3
2025-01-06T19:30:00,202.6
