timestamp,glucose_mg_dL
2025-01-01T00:00:00,130.4
2025-01-01T00:05:00,132.3
2025-01-01T00:10:00,122.0
2025-01-01T00:15:00,133.9
2025-01-01T00:20:00,137.9
2025-01-01T00:25:00,134.6
2025-01-01T00:30:00,146.0
2025-01-01T00:35:00,128.8
2025-01-01T00:40:00,127.9
2025-01-01T00:45:00,123.9
2025-01-01T00:50:00,141.5
2025-01-01T00:55:00,130.0
2025-01-01T01:00:00,132.3
2025-01-01T01:05:00,135.7
2025-01-01T01:10:00,141.8
2025-01-01T01:15:00,132.7
2025-01-01T01:20:00,132.2
2025-01-01T01:25:00,133.7
2025-01-01T01:30:00,140.7
2025-01-01T01:35:00,147.2
2025-01-01T01:40:00,136.7
2025-01-01T01:45:00,146.9
2025-01-01T01:50:00,141.9
2025-01-01T01:55:00,143.7
2025-01-01T02:00:00,137.5
2025-01-01T02:05:00,146.3
2025-01-01T02:10:00,138.3
2025-01-01T02:15:00,145.2
2025-01-01T02:20:00,146.9
2025-01-01T02:25:00,140.1
2025-01-01T02:30:00,145.3
2025-01-01T02:35:00,145.2
2025-01-01T02:40:00,160.7
2025-01-01T02:45:00,148.3
2025-01-01T02:50:00,135.4
2025-01-01T02:55:00,147.0
2025-01-01T03:00:00,147.0
2025-01-01T03:05:00,156.8
2025-01-01T03:10:00,145.7
2025-01-01T03:15:00,151.8
2025-01-01T03:20:00,159.4
2025-01-01T03:25:00,153.2
2025-01-01T03:30:00,150.8
2025-01-01T03:35:00,171.8
2025-01-01T03:40:00,163.4
2025-01-01T03:45:00,162.6
2025-01-01T03:50:00,149.0
2025-01-01T03:55:00,163.2
2025-01-01T04:00:00,151.6
2025-01-01T04:05:00,158.1
2025-01-01T04:10:00,146.8
2025-01-01T04:15:00,159.5
2025-01-01T04:20:00,154.6
2025-01-01T04:25:00,163.2
2025-01-01T04:30:00,162.3
2025-01-01T04:35:00,168.1
2025-01-01T04:40:00,157.4
2025-01-01T04:45:00,180.0
2025-01-01T04:50:00,173.6
2025-01-01T04:55:00,161.2
2025-01-01T05:00:00,172.9
2025-01-01T05:05:00,168.2
2025-01-01T05:10:00,171.0
2025-01-01T05:15:00,177.5
2025-01-01T05:20:00,182.2
2025-01-01T05:25:00,175.9
2025-01-01T05:30:00,187.3
2025-01-01T05:35:00,190.3
2025-01-01T05:40:00,179.5
2025-01-01T05:45:00,183.0
2025-01-01T05:50:00,194.0
2025-01-01T05:55:00,179.8
2025-01-01T06:00:00,172.7
2025-01-01T06:05:00,196.5
2025-01-01T06:10:00,173.6
2025-01-01T06:15:00,200.8
2025-01-01T06:20:00,183.3
2025-01-01T06:25:00,179.3
2025-01-01T06:30:00,186.0
2025-01-01T06:35:00,191.3
2025-01-01T06:40:00,193.0
2025-01-01T06:45:00,196.1
2025-01-01T06:50:00,184.6
2025-01-01T06:55:00,195.4
2025-01-01T07:00:00,203.4
2025-01-01T07:05:00,182.4
2025-01-01T07:10:00,205.1
2025-01-01T07:15:00,201.1
2025-01-01T07:20:00,198.0
2025-01-01T07:25:00,204.8
2025-01-01T07:30:00,200.1
2025-01-01T07:35:00,212.1
2025-01-01T07:40:00,203.1
2025-01-01T07:45:00,190.4
2025-01-01T07:50:00,198.3
2025-01-01T07:55:00,215.0
2025-01-01T08:00:00,204.1
2025-01-01T08:05:00,196.8
2025-01-01T08:10:00,199.5
2025-01-01T08:15:00,223.0
2025-01-01T08:20:00,204.1
2025-01-01T08:25:00,188.8
2025-01-01T08:30:00,202.8
2025-01-01T08:35:00,220.8
2025-01-01T08:40:00,206.5
2025-01-01T08:45:00,214.0
2025-01-01T08:50:00,199.1
2025-01-01T08:55:00,219.7
2025-01-01T09:00:00,212.5
2025-01-01T09:05:00,201.8
2025-01-01T09:10:00,222.9
2025-01-01T09:15:00,204.2
2025-01-01T09:20:00,215.8
2025-01-01T09:25:00,204.4
2025-01-01T09:30:00,218.8
2025-01-01T09:35:00,206.4
2025-01-01T09:40:00,214.6
2025-01-01T09:45:00,209.1
2025-01-01T09:50:00,214.5
2025-01-01T09:55:00,220.5
2025-01-01T10:00:00,154.9
2025-01-01T10:05:00,173.5
2025-01-01T10:10:00,166.7
2025-01-01T10:15:00,161.3
2025-01-01T10:20:00,164.1
2025-01-01T10:25:00,166.1
2025-01-01T10:30:00,160.3
2025-01-01T10:35:00,181.4
2025-01-01T10:40:00,161.8
2025-01-01T10:45:00,172.8
2025-01-01T10:50:00,205.3
2025-01-01T10:55:00,191.9
2025-01-01T11:00:00,201.4
2025-01-01T11:05:00,216.6
2025-01-01T11:10:00,206.9
2025-01-01T11:15:00,206.7
2025-01-01T11:20:00,207.4
2025-01-01T11:25:00,209.4
2025-01-01T11:30:00,209.6
2025-01-01T11:35:00,209.3
2025-01-01T11:40:00,203.7
2025-01-01T11:45:00,201.6
2025-01-01T11:50:00,195.6
2025-01-01T11:55:00,194.2
2025-01-01T12:00:00,199.7
2025-01-01T12:05:00,211.1
2025-01-01T12:10:00,217.3
2025-01-01T12:15:00,207.6
2025-01-01T12:20:00,203.9
2025-01-01T12:25:00,207.5
2025-01-01T12:30:00,201.2
2025-01-01T12:35:00,198.5
2025-01-01T12:40:00,212.5
2025-01-01T12:45:00,192.6
2025-01-01T12:50:00,194.2
2025-01-01T12:55:00,205.7
2025-01-01T13:00:00,186.2
2025-01-01T13:05:00,187.7
2025-01-01T13:10:00,201.5
2025-01-01T13:15:00,187.5
2025-01-01T13:20:00,207.9
2025-01-01T13:25:00,187.9
2025-01-01T13:30:00,198.1
2025-01-01T13:35:00,203.5
2025-01-01T13:40:00,195.6
2025-01-01T13:45:00,210.7
2025-01-01T13:50:00,192.2
2025-01-01T13:55:00,208.6
2025-01-01T14:00:00,194.9
2025-01-01T14:05:00,209.8
2025-01-01T14:10:00,186.8
2025-01-01T14:15:00,195.8
2025-01-01T14:20:00,191.1
2025-01-01T14:25:00,211.5
2025-01-01T14:30:00,196.7
2025-01-01T14:35:00,205.2
2025-01-01T14:40:00,194.2
2025-01-01T14:45:00,195.8
2025-01-01T14:50:00,188.8
2025-01-01T14:55:00,218.4
2025-01-01T15:00:00,185.8
2025-01-01T15:05:00,182.9
2025-01-01T15:10:00,202.8
2025-01-01T15:15:00,186.5
2025-01-01T15:20:00,178.6
2025-01-01T15:25:00,178.3
2025-01-01T15:30:00,203.9
2025-01-01T15:35:00,178.3
2025-01-01T15:40:00,184.7
2025-01-01T15:45:00,199.9
2025-01-01T15:50:00,202.4
